Value1,Value2,Value3,Value4,Value5,Value6,attackerType
2448.63,1953.74,-1.11,13.88,13.93,-1.65,0
2479.65,2200.54,1.01,13.87,13.91,-1.5,4
1693,19533,1.02,13.96,14,-1.5,2
2441.93,1808.34,1.01,13.89,13.93,-1.5,0
0,0,1.01,13.95,13.99,-1.5,1
2435.63,1736.88,2.1,13.83,13.99,-1.42,0
2403.26,1699.08,10.45,0.99,10.5,-0.09,0
2729.12,1850.56,10.58,1.2,10.64,-0.11,4
2367.62,1694.96,11.6,1.73,11.72,-0.15,0
2464.02,2031.27,-1.11,13.88,13.92,-1.65,3
2447.52,1967.62,-1.11,13.88,13.92,-1.65,0
2470.66,1948.45,1.01,13.94,13.97,-1.5,3
2467.76,1908.52,1.01,13.94,13.98,-1.5,3
2442.94,1822.23,1.01,13.91,13.95,-1.5,0
1122,15150,1.01,13.85,13.88,-1.5,2
2437.72,1750.65,2.09,13.73,13.89,-1.42,0
2413.78,1700.08,10.49,0.99,10.54,-0.09,0
2417.76,1718.56,10.64,1.01,10.68,-0.09,3
2379.13,1696.62,11.47,1.43,11.56,-0.12,0
0,0,-1.11,13.88,13.93,-1.65,1
2446.41,1981.52,-1.11,13.91,13.95,-1.65,0
2826.55,2376.34,-1.11,13.85,13.9,-1.65,4
904,15608,1.01,13.91,13.94,-1.5,2
2443.95,1836.12,1.01,13.88,13.92,-1.5,0
505,17678,1.01,13.89,13.93,-1.5,2
2438.83,1764.52,0.77,13.94,13.96,-1.52,0
2422.22,1700.87,6.43,0.6,6.46,-0.09,0
2427.2,1719.46,8.12,0.77,8.16,-0.09,3
2389.84,1697.81,9.69,0.92,9.73,-0.09,0
0,0,-1.11,13.89,13.94,-1.65,1
2445.29,1995.41,-1.12,13.92,13.97,-1.65,0
0,0,-1.11,13.88,13.92,-1.65,1
0,0,1.01,13.92,13.96,-1.5,1
2444.96,1850.02,1.01,13.93,13.97,-1.5,0
1693,10038,1.01,13.87,13.91,-1.5,2
2439.75,1778.44,1.01,13.94,13.97,-1.5,0
2429.7,1702.28,7.92,3.61,8.71,-0.43,0
2603.48,2062.24,8.75,0.83,8.79,-0.09,4
2399.22,1698.7,9.53,0.9,9.57,-0.09,0
1464,18109,-1.12,13.95,14,-1.65,2
2444.18,2009.29,-1.11,13.87,13.92,-1.65,0
2454.32,2405.11,-1.11,13.88,13.92,-1.65,4
0,0,-0.51,13.97,13.98,-1.61,1
2445.97,1863.92,1.01,13.91,13.95,-1.5,0
2463.98,1856.54,1.01,13.85,13.89,-1.5,3
2440.76,1792.31,1.01,13.89,13.92,-1.5,0
2431.79,1711.61,1.6,10.5,10.62,-1.42,0
0,0,6.46,0.51,6.48,-0.08,1
2408.14,1699.55,7.69,0.73,7.73,-0.09,0
2459.72,2086.85,-0.94,13.93,13.96,-1.64,3
2443.07,2023.19,-1.12,13.93,13.98,-1.65,0
0,0,-1.11,13.91,13.95,-1.65,1
2469.4,1964.11,-1.11,13.9,13.94,-1.65,3
2446.98,1877.82,1.01,13.87,13.9,-1.5,0
0,0,1.01,13.9,13.94,-1.5,1
2441.77,1806.21,1.01,13.95,13.99,-1.5,0
2433.54,1723.12,1.89,12.42,12.57,-1.42,0
213,19599,6.7,5.61,8.74,-0.7,2
2416.44,1700.33,8.81,0.83,8.85,-0.09,0
0,0,-0.94,13.85,13.88,-1.64,1
2441.95,2037.1,-1.11,13.86,13.91,-1.65,0
0,0,-1.11,13.89,13.94,-1.65,1
2468.29,1978.02,-1.12,13.94,13.98,-1.65,3
2447.99,1891.72,1.01,13.83,13.87,-1.5,0
2466,1884.31,1.01,13.84,13.87,-1.5,3
2442.78,1820.11,1.01,13.89,13.93,-1.5,0
2435.45,1735.65,1.9,12.47,12.62,-1.42,0
2451.94,1732.62,1.58,10.37,10.49,-1.42,3
2423.89,1700.97,6.69,0.46,6.71,-0.07,0
2581.91,2198.62,-2.16,13.77,13.94,-1.73,4
2440.84,2051,-1.12,13.94,13.99,-1.65,0
0,0,-1.12,13.95,13.99,-1.65,1
2741.18,2259.89,-1.11,13.84,13.89,-1.65,4
2449,1905.6,1.01,13.91,13.94,-1.5,0
1885,13439,1.01,13.94,13.97,-1.5,2
2443.79,1834,1.01,13.91,13.94,-1.5,0
2437.35,1748.17,1.9,12.48,12.62,-1.42,0
809,11818,1.89,12.42,12.56,-1.42,2
2430.58,1703.9,4.96,7.43,8.93,-0.98,0
2452.89,2127.37,-7.18,11.94,13.93,-2.11,3
2439.85,2064.9,-0.94,13.94,13.98,-1.64,0
2462.87,2045.71,-1.12,13.94,13.98,-1.65,3
2466.07,2005.77,-1.11,13.9,13.94,-1.65,3
2450.01,1919.49,1.01,13.92,13.96,-1.5,0
1988,18487,1.01,13.88,13.92,-1.5,2
2444.8,1847.89,1.01,13.91,13.95,-1.5,0
2438.62,1760.78,0.88,12.63,12.66,-1.5,0
0,0,2.1,13.81,13.97,-1.42,1
2432.11,1713.74,1.63,10.72,10.85,-1.42,0
0,0,-11.9,7.28,13.95,-2.59,1
2438.91,2078.8,-0.94,13.94,13.97,-1.64,0
2461.75,2059.6,-1.11,13.87,13.92,-1.65,3
2464.95,2019.66,-1.11,13.88,13.92,-1.65,3
2450.26,1933.38,-1.11,13.91,13.96,-1.65,0
2469.03,1925.97,1.01,13.9,13.93,-1.5,3
2445.81,1861.78,1.01,13.95,13.98,-1.5,0
2439.39,1773.44,0.89,12.61,12.64,-1.5,0
2868.79,2184.22,1.96,13.7,13.84,-1.43,4
2433.91,1725.57,1.93,12.68,12.82,-1.42,0
2529.47,2440.93,-13.54,3.07,13.88,-2.92,4
2438.22,2092.72,-1.76,13.85,13.97,-1.7,0
2577.64,2326.5,-1.12,13.92,13.96,-1.65,4
2463.84,2033.53,-1.11,13.83,13.88,-1.65,3
2449.15,1947.27,-1.12,13.95,13.99,-1.65,0
457,14721,1.01,13.85,13.88,-1.5,2
2446.82,1875.67,1.01,13.95,13.98,-1.5,0
2440.31,1786.1,0.92,12.59,12.62,-1.5,0
1177,12670,0.75,13.55,13.57,-1.52,2
2435.97,1739.1,2.1,13.82,13.98,-1.42,0
2571.54,2603.51,-13.86,-0.47,13.87,3.11,4
2433.87,2105.75,-7.21,11.99,13.99,-2.11,0
2459.68,2087.4,-0.94,13.92,13.95,-1.64,3
2462.73,2047.41,-1.11,13.83,13.88,-1.65,3
2448.04,1961.15,-1.11,13.91,13.96,-1.65,0
2553.24,2112.74,-1.12,13.92,13.97,-1.65,4
2447.83,1889.56,1.01,13.88,13.92,-1.5,0
2441.23,1798.76,0.92,12.65,12.68,-1.5,0
0,0,0.98,13.43,13.46,-1.5,1
2437.97,1752.88,1.59,13.83,13.92,-1.46,0
2401.62,2140.04,-13.93,-0.47,13.93,3.11,3
2424.16,2115.43,-11.78,7.48,13.95,-2.58,0
2458.74,2101.32,-0.94,13.88,13.91,-1.64,3
1023,17134,-1.11,13.86,13.91,-1.65,2
2446.93,1975.02,-1.11,13.9,13.94,-1.65,0
2926.12,2288.64,-1.12,13.95,14,-1.65,4
2448.84,1903.45,1.01,13.92,13.96,-1.5,0
2442.15,1811.38,0.92,12.6,12.63,-1.5,0
0,0,0.96,13.19,13.23,-1.5,1
2438.96,1766.78,0.77,13.9,13.92,-1.52,0
1950,17070,-13.93,-0.47,13.94,3.11,2
2411.28,2120.52,-13.55,3.07,13.89,-2.92,0
2457.8,2115.19,-2.33,13.75,13.95,-1.74,3
1315,10210,-1.11,13.87,13.91,-1.65,2
2445.82,1988.9,-1.11,13.86,13.91,-1.65,0
0,0,-1.11,13.83,13.88,-1.65,1
2449.85,1917.35,1.01,13.83,13.87,-1.5,0
2443.07,1824.04,0.92,12.7,12.73,-1.5,0
0,0,0.95,13.11,13.14,-1.5,1
2439.91,1780.67,1.01,13.85,13.88,-1.5,0
0,0,-13.94,-0.47,13.95,3.11,1
2397.41,2120.57,-13.95,-0.47,13.96,3.11,0
2929.59,2542.88,-7.18,11.95,13.94,-2.11,4
2459.56,2089.1,-0.94,13.91,13.94,-1.64,3
2444.7,2002.79,-1.12,13.95,13.99,-1.65,0
2466.9,1995.42,-1.12,13.94,13.99,-1.65,3
2450.43,1931.26,-1.11,13.84,13.89,-1.65,0
2443.99,1836.67,0.92,12.58,12.62,-1.5,0
2462.6,1837.64,0.94,12.91,12.94,-1.5,3
2440.93,1794.58,1.01,13.89,13.92,-1.5,0
2312,12937,-13.88,-0.47,13.89,3.11,2
2383.49,2120.1,-13.93,-0.47,13.93,3.11,0
0,0,-12.09,6.85,13.89,-2.63,1
2458.65,2103,-0.77,13.89,13.91,-1.63,3
2443.59,2016.65,-1.11,13.84,13.89,-1.65,0
2894.78,2241.3,-1.12,13.95,13.99,-1.65,4
2449.32,1945.16,-1.12,13.94,13.98,-1.65,0
2444.91,1849.33,0.92,12.62,12.65,-1.5,0
0,0,0.94,12.88,12.91,-1.5,1
2441.94,1808.49,1.01,13.85,13.89,-1.5,0
2345.93,2138.15,-13.91,-0.47,13.92,3.11,3
2369.57,2119.63,-13.97,-0.47,13.98,3.11,0
2459.88,2544.96,-13.65,2.51,13.87,-2.96,4
2706.49,2212.84,-2.59,13.73,13.97,-1.76,4
2442.48,2030.57,-1.12,13.95,13.99,-1.65,0
2464.67,2023.19,-1.11,13.85,13.89,-1.65,3
2448.21,1959.04,-1.11,13.89,13.93,-1.65,0
2445.83,1861.98,0.92,12.69,12.72,-1.5,0
2920.48,2041.41,0.94,12.87,12.91,-1.5,4
2442.94,1822.24,0.99,13.63,13.66,-1.5,0
0,0,-13.9,-0.47,13.91,3.11,1
2355.64,2119.16,-13.95,-0.47,13.95,3.11,0
0,0,-13.98,-0.47,13.98,3.11,1
2451.53,2129.21,-8.23,11.24,13.93,-2.2,3
2441.36,2044.46,-1.11,13.87,13.91,-1.65,0
2858.56,2022.07,-1.11,13.9,13.95,-1.65,4
2447.09,1972.96,-1.11,13.87,13.91,-1.65,0
2446.75,1874.62,0.92,12.65,12.68,-1.5,0
2903.41,2139.22,0.93,12.79,12.83,-1.5,4
2443.92,1835.77,0.98,13.46,13.5,-1.5,0
2761.06,2439.21,-13.91,-0.47,13.92,3.11,4
2341.73,2118.69,-13.95,-0.47,13.95,3.11,0
2401.04,2140.02,-13.92,-0.47,13.93,3.11,3
0,0,-12.66,5.66,13.87,-2.72,1
2440.29,2058.36,-0.94,13.92,13.96,-1.64,0
2467.44,2346.99,-1.12,13.95,14,-1.65,4
2445.98,1986.84,-1.11,13.88,13.93,-1.65,0
2447.67,1887.28,0.92,12.61,12.64,-1.5,0
2466.34,1889.01,0.93,12.74,12.77,-1.5,3
2444.89,1849.12,0.97,13.33,13.37,-1.5,0
2304.11,2136.74,-13.92,-0.47,13.92,3.11,3
2327.8,2118.22,-13.91,-0.47,13.91,3.11,0
945,11225,-13.89,-0.47,13.9,3.11,2
0,0,-13.95,0.06,13.95,-3.14,1
2439.35,2072.26,-0.95,13.96,14,-1.64,0
2461.33,2064.88,-1.12,13.94,13.99,-1.65,3
2444.87,2000.73,-1.12,13.92,13.96,-1.65,0
2448.59,1899.92,0.92,12.7,12.74,-1.5,0
2467.26,1901.73,0.92,12.67,12.7,-1.5,3
2445.85,1862.28,0.95,13.12,13.15,-1.5,0
2290.2,2136.27,-13.95,-0.47,13.96,3.11,3
2313.85,2117.75,-13.99,-0.47,14,3.11,0
0,0,-13.95,-0.47,13.96,3.11,1
2402,10476,-13.89,-0.47,13.9,3.11,2
2438.59,2086.17,-0.24,13.96,13.96,-1.59,0
0,0,-0.94,13.91,13.94,-1.64,1
2443.76,2014.61,-1.11,13.83,13.87,-1.65,0
2449.51,1912.59,0.92,12.61,12.64,-1.5,0
2585.19,2056.48,0.93,12.75,12.78,-1.5,4
2446.8,1875.35,0.95,13.02,13.05,-1.5,0
2276.26,2135.8,-13.95,-0.47,13.96,3.11,3
2299.93,2117.28,-13.93,-0.47,13.93,3.11,0
1964,14870,-13.95,-0.47,13.96,3.11,2
